127.0.0.1 - - [02/Nov/2019:19:40:03 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/index.jsp HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/main.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/dlqpsxm1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/dlqpsxm2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/tkdvna_img/dkapflzksh1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/hh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/pp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/pp2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/kk.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/dlqpsxm3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /cop/boot/img/pp3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe1.jsp HTTP/1.1" 200 20238
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/fonts/NanumBarunGothic.woff HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/jquery.bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/idangerous.swiper.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/jquery.scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/idangerous.swiper.scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/style_dt.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/ezmark.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:19 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
